Simple											
Sample	lP	lR	lF	lTime	MetricExpr	P	R	F	Time		
60.00%	1	0.9565217391	0.9777777778	7724	MINUS(trigrams(x.http://www.okkam.org/ontology_person1.owl#soc_sec_id,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00,jaccard(x.http://www.okkam.org/ontology_person1.owl#surname,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00)|0.0	1	0.95	0.9743589744	2	2267	0
70.00%	1	0.9367816092	0.9673590504	11705	MINUS(trigrams(x.http://www.okkam.org/ontology_person1.owl#soc_sec_id,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00,jaccard(x.http://www.okkam.org/ontology_person1.owl#surname,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00)|0.0	1	0.95	0.9743589744	3	2267	0
80.00%	1	0.945	0.971722365	15283	MINUS(trigrams(x.http://www.okkam.org/ontology_person1.owl#soc_sec_id,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00,jaccard(x.http://www.okkam.org/ontology_person1.owl#surname,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00)|0.0	1	0.95	0.9743589744	2	2267	0
90.00%	1	0.9553571429	0.9771689498	18559	MINUS(trigrams(x.http://www.okkam.org/ontology_person1.owl#soc_sec_id,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00,jaccard(x.http://www.okkam.org/ontology_person1.owl#surname,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00)|0.0	1	0.95	0.9743589744	2	2267	0
100.00%	1	0.95	0.9743589744	22536	MINUS(trigrams(x.http://www.okkam.org/ontology_person1.owl#soc_sec_id,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00,jaccard(x.http://www.okkam.org/ontology_person1.owl#surname,y.http://www.okkam.org/ontology_person2.owl#soc_sec_id)|1.00)|0.0	1	0.95	0.9743589744	1	2267	0
											
											
											
Sample	Simple F	Complete F	Sample	Simple P	Simple R	Simple F	Complete P	Complete R	Complete F		
0.1	0.998998999	0.9743589744	10.00%	1	0.998	0.998998999	1	0.95	0.9743589744		
0.2	0.998998999	0.9743589744	20.00%	1	0.998	0.998998999	1	0.95	0.9743589744		
